type,,,,
0,7_Shape_mini board,7,,_Shape_mini board
0,8_Shape_mini board,8,,_Shape_mini board
0,9_Shape_mini board,9,,_Shape_mini board
0,10_Shape_mini board,10,,_Shape_mini board
0,11_Shape_mini board,11,,_Shape_mini board
0,12_Shape_mini board,12,,_Shape_mini board
0,13_Shape_mini board,13,,_Shape_mini board
0,14_Shape_mini board,14,,_Shape_mini board
0,15_Shape_mini board,15,,_Shape_mini board
0,16_Shape_mini board,16,,_Shape_mini board
0,17_Shape_mini board,17,,_Shape_mini board
2,18_Screw_mini board,18,,_Screw_mini board
2,19_Screw_mini board,19,,_Screw_mini board
2,20_Screw_mini board,20,,_Screw_mini board
2,21_Screw_mini board,21,,_Screw_mini board
2,22_Screw_mini board,22,,_Screw_mini board
2,23_Screw_mini board,23,,_Screw_mini board
2,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
1,24_Screw_mini board,24,,_Screw_mini board
